problem_solution_key,id,title,solution_column,solution_index,source_broad_tag,source_broad_score,BACKTRACKING,BFS,BINARY_SEARCH,BITMASK,BRUTE_FORCE,COMBINATORICS,DFS,DIJKSTRA,DP,FENWICK_TREE,GCD_LCM,GEOMETRY,GRAPH,GREEDY,MATH,MODULAR_ARITHMETIC,PARAMETRIC_SEARCH,PREFIX_SUM,PRIORITY_QUEUE,SEGMENT_TREE,SIEVE,SIMULATION,SORTING,STACK,TOPO_SORT,TREE,TWO_POINTERS,UNION_FIND,recheck_best_candidate,recheck_best_score,recheck_decision,recheck_reason
1475_D_solution_3,1475_D,Cleaning the Phone,solution_3,3,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,95,0,TWO_POINTERS,95,LIKELY_SPECIFIC_ALGORITHM,"GREEDY 전략을 기반으로 하지만, 최적의 비용 1 앱 개수를 찾는 과정에서 투포인터(TWO_POINTERS) 구조가 시간복잡도와 풀이 구조의 핵심임"
1475_D_solution_4,1475_D,Cleaning the Phone,solution_4,4,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"GREEDY 전략을 사용하나, 누적합 배열 상에서 정답 후보를 찾는 핵심 메커니즘이 BINARY_SEARCH임"
1475_D_solution_17,1475_D,Cleaning the Phone,solution_17,17,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"그리디하게 정렬한 후, 누적합 배열에서 최적의 지점을 BINARY_SEARCH로 찾는 것이 핵심 로직임"
1475_D_solution_18,1475_D,Cleaning the Phone,solution_18,18,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,그리디 정렬 후 이분 탐색을 통해 최적해를 찾는 구조가 명확함
1475_D_solution_7,1475_D,Cleaning the Phone,solution_7,7,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,그리디한 선택 이후 최적의 경계값을 찾는 과정에서 BINARY_SEARCH가 시간복잡도를 결정하는 핵심 기법으로 사용됨
1475_D_solution_8,1475_D,Cleaning the Phone,solution_8,8,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,95,0,TWO_POINTERS,95,LIKELY_SPECIFIC_ALGORITHM,그리디 선택 이후 최적의 조합을 찾는 과정에서 투포인터 기법이 시간복잡도를 결정하는 핵심 기법으로 사용됨
1475_D_solution_9,1475_D,Cleaning the Phone,solution_9,9,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,85,0,SORTING,90,KEEP_ORIGINAL,정렬 후 투 포인터를 사용하는 전형적인 그리디 최적화 문제임
1475_D_solution_10,1475_D,Cleaning the Phone,solution_10,10,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,85,0,SORTING,90,KEEP_ORIGINAL,그리디하게 정렬 후 투 포인터로 최적해를 찾는 정석적인 풀이임
1475_D_solution_1,1475_D,Cleaning the Phone,solution_1,1,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"GREEDY 전략을 기반으로 하지만, 실제 구현에서 시간 복잡도를 결정하고 정답을 찾는 핵심 메커니즘은 BINARY_SEARCH임"
1475_D_solution_2,1475_D,Cleaning the Phone,solution_2,2,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,전략은 Greedy이지만 시간 복잡도를 해결하는 구체적인 수단은 Binary Search임
1475_D_solution_11,1475_D,Cleaning the Phone,solution_11,11,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,95,0,,,40,0,,,0,0,PRIORITY_QUEUE,95,LIKELY_SPECIFIC_ALGORITHM,GREEDY로 분류되었으나 PRIORITY_QUEUE(Heap)를 이용한 최댓값 추출이 풀이의 핵심 구조임
1475_D_solution_12,1475_D,Cleaning the Phone,solution_12,12,GREEDY,70,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,40,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"넓은 의미의 그리디(가장 큰 것부터 선택) 기반이지만, 실제 구현의 핵심은 누적합 배열 상의 이분 탐색임"
1475_D_solution_19,1475_D,Cleaning the Phone,solution_19,19,GREEDY,80,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"전체적인 전략은 그리디하지만, 실제 최적해를 결정하는 핵심 메커니즘은 누적합 배열상의 이분 탐색임"
1475_D_solution_20,1475_D,Cleaning the Phone,solution_20,20,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,80,0,SORTING,90,KEEP_ORIGINAL,"명확한 그리디 선택 기준이 존재하며, 이를 통해 최적해를 보장하는 구조임"
1475_D_solution_5,1475_D,Cleaning the Phone,solution_5,5,GREEDY,85,,,95,,,,,,20,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"While a greedy choice (largest memory first) is used, the core of the optimization is finding the minimal complement using binary search on prefix sums, which governs the time complexity."
1475_D_solution_6,1475_D,Cleaning the Phone,solution_6,6,GREEDY,85,,,95,,,,,,20,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"The greedy sorting is a prerequisite, but the binary search on prefix sums is what solves the minimization problem efficiently."
487_A_solution_1,487_A,Fight the Monster,solution_1,1,MATH,60,,,0,,100,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,100,KEEP_ORIGINAL,"단순 사칙연산과 올림 계산을 사용한 수학적 산출이며, 특정한 수학적 알고리즘(정수론 등)이 핵심은 아님."
487_A_solution_2,487_A,Fight the Monster,solution_2,2,MATH,60,,,0,,100,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,100,KEEP_ORIGINAL,"전투 승리 조건을 만족하기 위한 산술 계산이 포함되어 있으나, 수학적 정리가 핵심인 문제는 아님."
487_A_solution_3,487_A,Fight the Monster,solution_3,3,MATH,60,,,0,,95,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,95,KEEP_ORIGINAL,"단순 사칙연산을 이용한 비용 계산이며, 전체 구조는 완전 탐색에 의존함"
487_A_solution_4,487_A,Fight the Monster,solution_4,4,MATH,60,,,0,,95,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,95,KEEP_ORIGINAL,"단순 수식 계산이며, 전체 구조는 BRUTE_FORCE임"
487_A_solution_8,487_A,Fight the Monster,solution_8,8,DP,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PREFIX_SUM,0,KEEP_ORIGINAL,
487_A_solution_10,487_A,Fight the Monster,solution_10,10,MATH,70,,,0,,95,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,95,KEEP_ORIGINAL,"필요 HP를 구하는 산술 계산이 포함되어 있으나, 이는 단순 수식 적용이며 특수 수학 알고리즘(정수론 등)은 아님"
